ID,Loc,RAJ2000,DEJ2000,SNR,HRV,e_HRV,Teff,e_Teff,logg,e_logg,Vsini,[M/H],e_[M/H]
2M17023233+3411347,2454,255.634714,34.192993,105.75,7.86201,0.041224,3746.719,75.169,4.8641,0.1139,4.42945,-0.119219,0.014236
2M17023233+3411347,2386,255.634714,34.192993,102.6,7.28347,0.035,3718.565,75.469,4.767,0.1158,6.65304,-0.162419,0.015125
2M17023947+2509182,2464,255.664471,25.155067,133.12,-81.138,0.022284,3984.416,75.488,4.711,0.1135,2.86306,-0.184649,0.01189
2M17025653+3446482,2243,255.735581,34.780056,126.25,-35.241901,0.024233,3480.415,76.764,4.8103,0.1304,6.56523,-0.458319,0.023969
2M17025774+3201396,2454,255.740602,32.027672,293.63,-6.08447,0.016829,3590.846,59.303,4.7627,0.1189,12.13668,-0.124529,0.011392
2M17030307+6336164,2037,255.762828,63.604557,132.38,-40.534801,0.025315,3439.036,64.559,5.1281,0.1241,8.07458,-0.236589,0.016575
2M17030806-2238587,5129,255.78359,-22.649647,48.572,33.311501,0.07779,3474.823,82.823,4.7733,0.1311,7.76783,-0.498269,0.027978
2M17031377+3604090,2000,255.807396,36.069187,59.382,-78.013603,0.049396,3904.547,84.283,4.8075,0.1026,4.46859,0.118721,0.012812
2M17031877+2335022,2464,255.828217,23.583963,92.87,-84.643097,0.035329,3770.362,84.59,4.9943,0.1468,5.86179,-0.950659,0.0276
2M17033134+3725442,2236,255.880591,37.428947,231.41,-24.817801,0.013844,3485.04,56.942,4.9986,0.1173,6.15772,-0.035504,0.011357
2M17033253+1015052,4522,255.88558,10.251469,215.6,-49.598202,0.006534,3908.622,65.814,4.7454,0.1173,3.06768,-0.219879,0.010392
2M17033327+1128487,5292,255.888655,11.480217,56.694,-26.704201,0.055403,3609.641,80.119,4.9995,0.116,6.31001,-0.152499,0.018578
2M17033704+3248592,2454,255.904369,32.81646,320.51,-62.348701,0.011158,3772.097,63.029,4.8353,0.1185,3.06401,-0.193559,0.01087
2M17033704+3248592,2386,255.904369,32.81646,190.06,-62.181,0.013478,3759.569,66.293,4.7843,0.118,3.3808,-0.192909,0.011951
2M17034128+3728050,2236,255.92202,37.468056,295.26,-49.8811,0.013452,3910.679,66.33,4.776,0.1199,4.91417,-0.289059,0.010943
2M17034999-2233057,5129,255.958331,-22.551586,44.772,8.24759,0.080039,3835.077,91.004,4.7379,0.1122,3.81391,-0.162679,0.018312
2M17035283+3211456,2454,255.970134,32.196007,685.8,-7.74168,0.004931,3573.206,59.233,5.2729,0.1206,7.86068,-0.163379,0.011861
2M17053171+3354056,2243,256.38215,33.901581,81.514,-2.46833,0.041022,3711.923,78.627,4.8878,0.116,2.95026,-0.177799,0.016434
2M17051115+2517575,2464,256.296486,25.299328,96.363,-13.5583,0.036924,3835.282,78.423,4.7777,0.1184,3.32667,-0.282109,0.015399
2M17051280+6528076,5765,256.303337,65.468796,274.59,-22.7407,0.00798,3732.426,63.669,4.918,0.1194,3.71475,-0.205939,0.011585
2M17051748+3451223,2386,256.322851,34.856197,59.877,-13.0565,0.344979,3997.711,91.17,4.6425,0.1112,33.97035,-0.186879,0.016026
